Review ID,Employee Role,Department,Review Text,Sentiment
160,Business Analyst,Sales,"Opportunities for growth exist, but require patience.",Neutral
161,Customer Support,Marketing,"Salary is not competitive, and no real career growth.",Negative
162,Software Engineer,Customer Service,Micromanagement and outdated policies make work frustrating.,Negative
163,Product Manager,IT,Teamwork and collaboration are highly valued here.,Positive
164,HR Manager,IT,"Management is okay, but could improve communication.",Neutral
165,Data Scientist,Finance,"Work is decent, but sometimes repetitive.",Neutral
166,Sales Executive,Finance,"Opportunities for growth exist, but require patience.",Neutral
167,HR Manager,Marketing,Teamwork and collaboration are highly valued here.,Positive
168,Marketing Analyst,Sales,Great company culture and work-life balance.,Positive
169,Sales Executive,Marketing,"Some teams are great, others not so much.",Neutral
170,Marketing Analyst,Operations,"Long hours and high workload, with little recognition.",Negative
171,Product Manager,Sales,"Some teams are great, others not so much.",Neutral
172,HR Manager,Design,"Salary is average, not too high, not too low.",Neutral
173,Data Scientist,HR,"Opportunities for growth exist, but require patience.",Neutral
174,Data Scientist,Marketing,"Long hours and high workload, with little recognition.",Negative
175,Customer Support,Sales,Micromanagement and outdated policies make work frustrating.,Negative
176,Business Analyst,Marketing,Teamwork and collaboration are highly valued here.,Positive
177,Project Manager,IT,Good pay and benefits. Flexible working hours.,Positive
178,Software Engineer,HR,Teamwork and collaboration are highly valued here.,Positive
179,Customer Support,HR,Toxic work environment with high turnover.,Negative
180,Software Engineer,Marketing,"Opportunities for growth exist, but require patience.",Neutral
181,Product Manager,Sales,"Some teams are great, others not so much.",Neutral
182,Business Analyst,HR,Challenging but rewarding work with great leadership.,Positive
183,Customer Support,HR,Micromanagement and outdated policies make work frustrating.,Negative
184,Sales Executive,Operations,"Opportunities for growth exist, but require patience.",Neutral
185,Software Engineer,Customer Service,"Some teams are great, others not so much.",Neutral
186,Customer Support,HR,"Salary is not competitive, and no real career growth.",Negative
187,Business Analyst,Customer Service,Supportive management and opportunities for growth.,Positive
188,Software Engineer,Customer Service,Poor management and lack of transparency.,Negative
189,HR Manager,Marketing,Great company culture and work-life balance.,Positive
190,Business Analyst,Marketing,Great company culture and work-life balance.,Positive
191,Sales Executive,Marketing,"Management is okay, but could improve communication.",Neutral
192,UX Designer,Finance,Micromanagement and outdated policies make work frustrating.,Negative
193,Project Manager,Sales,Great company culture and work-life balance.,Positive
194,Marketing Analyst,Finance,Good pay and benefits. Flexible working hours.,Positive
195,Software Engineer,Marketing,Good pay and benefits. Flexible working hours.,Positive
196,Software Engineer,Design,"Work is decent, but sometimes repetitive.",Neutral
197,Marketing Analyst,HR,Toxic work environment with high turnover.,Negative
198,UX Designer,Design,Supportive management and opportunities for growth.,Positive
199,UX Designer,Design,Micromanagement and outdated policies make work frustrating.,Negative
200,Marketing Analyst,HR,Micromanagement and outdated policies make work frustrating.,Negative
201,Data Scientist,Sales,Great company culture and work-life balance.,Positive
202,Data Scientist,HR,"Some teams are great, others not so much.",Neutral
203,Sales Executive,IT,"Long hours and high workload, with little recognition.",Negative
204,Product Manager,Finance,"Work is decent, but sometimes repetitive.",Neutral
205,Product Manager,Finance,"Some teams are great, others not so much.",Neutral
206,Sales Executive,Customer Service,Good pay and benefits. Flexible working hours.,Positive
207,Software Engineer,IT,Great company culture and work-life balance.,Positive
208,Data Scientist,Finance,"Work is decent, but sometimes repetitive.",Neutral
209,Software Engineer,HR,Good pay and benefits. Flexible working hours.,Positive
210,Business Analyst,IT,Teamwork and collaboration are highly valued here.,Positive
211,Product Manager,Design,Great company culture and work-life balance.,Positive
212,Sales Executive,Finance,Good pay and benefits. Flexible working hours.,Positive
213,Sales Executive,Customer Service,"Salary is average, not too high, not too low.",Neutral
214,Business Analyst,Finance,Teamwork and collaboration are highly valued here.,Positive
215,HR Manager,Operations,Micromanagement and outdated policies make work frustrating.,Negative
216,Data Scientist,Sales,Poor management and lack of transparency.,Negative
217,Product Manager,HR,Supportive management and opportunities for growth.,Positive
218,Project Manager,Operations,"Some teams are great, others not so much.",Neutral
219,Sales Executive,Marketing,"Opportunities for growth exist, but require patience.",Neutral
220,HR Manager,IT,"Work is decent, but sometimes repetitive.",Neutral
221,Product Manager,Sales,Challenging but rewarding work with great leadership.,Positive
222,UX Designer,IT,"Salary is average, not too high, not too low.",Neutral
223,UX Designer,Finance,"Salary is average, not too high, not too low.",Neutral
224,Project Manager,Customer Service,"Some teams are great, others not so much.",Neutral
225,Customer Support,IT,Challenging but rewarding work with great leadership.,Positive
226,Software Engineer,IT,Supportive management and opportunities for growth.,Positive
227,Data Scientist,Design,"Some teams are great, others not so much.",Neutral
228,Business Analyst,Sales,Great company culture and work-life balance.,Positive
229,HR Manager,Design,Great company culture and work-life balance.,Positive
230,Marketing Analyst,HR,"Some teams are great, others not so much.",Neutral
231,UX Designer,Sales,Poor management and lack of transparency.,Negative
232,Sales Executive,Finance,"Long hours and high workload, with little recognition.",Negative
233,HR Manager,IT,Good pay and benefits. Flexible working hours.,Positive
234,Business Analyst,Marketing,Teamwork and collaboration are highly valued here.,Positive
235,Software Engineer,Customer Service,Poor management and lack of transparency.,Negative
236,Marketing Analyst,Sales,"Long hours and high workload, with little recognition.",Negative
237,Business Analyst,Operations,"Long hours and high workload, with little recognition.",Negative
238,Software Engineer,Customer Service,"Work is decent, but sometimes repetitive.",Neutral
239,UX Designer,Sales,Great company culture and work-life balance.,Positive
240,Project Manager,Marketing,Teamwork and collaboration are highly valued here.,Positive
241,Data Scientist,HR,"Some teams are great, others not so much.",Neutral
242,Customer Support,Customer Service,Challenging but rewarding work with great leadership.,Positive
243,Business Analyst,Marketing,"Salary is average, not too high, not too low.",Neutral
244,Marketing Analyst,Marketing,"Work is decent, but sometimes repetitive.",Neutral
245,Sales Executive,Customer Service,"Some teams are great, others not so much.",Neutral
246,Product Manager,Customer Service,Teamwork and collaboration are highly valued here.,Positive
247,Data Scientist,Marketing,Micromanagement and outdated policies make work frustrating.,Negative
248,Business Analyst,Customer Service,Good pay and benefits. Flexible working hours.,Positive
249,UX Designer,Design,Supportive management and opportunities for growth.,Positive
250,Customer Support,Finance,"Salary is average, not too high, not too low.",Neutral
